Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Manangatang Transfer Station,Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,126 Moondah Road,Manangatang,Swan Hill,-35.04599,142.8965
Mansfield Resource Recovery Centre,Mansfield Shire Council,Resource Recovery Centre,Transfer station,163 Monkey Gully Road,Mansfield,Mansfield,-37.09305,146.0906
Markwood Transfer Station,Wangaratta Rural City Council,Resource Recovery Centre,Transfer station,145 Forest Lane,Markwood,Wangaratta,-36.46787778,146.4762167
Marlo Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,99 Curlip Drive,Marlo,East Gippsland,-37.79165,148.549683
Marysville Resource Recovery Centre,Murrindindi Shire Council,Resource Recovery Centre,Transfer station,2 Sunds Mill Court,Marysville,Murrindindi,-37.50626835,145.7391304
Melton Recycling Facility,Melton City Council,Resource Recovery Centre,Transfer station,33 Ferris Road,Cobblebank,Melton,-37.702888,144.610114
Metung Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,130 Rosherville Road,Metung,East Gippsland,-37.852133,147.861536
Minyip Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,332 Minyip-Rich Avon Road,Minyip,Yarriambiack,-36.4671417,142.6327274
Mirboo North Transfer Station,South Gippsland Shire Council,Resource Recovery Centre,Transfer station,15 Railway Road,Mirboo North,South Gippsland,-38.401094,146.172041
Moe Transfer Station,Latrobe City Council,Resource Recovery Centre,Transfer station,280 Haunted Hills,Newborough,Latrobe,-38.196646,146.29783
Monash Waste Transfer & Recycling Station,Monash City Council,Resource Recovery Centre,Transfer station,380 Ferntree Gully Road,Notting Hill,Monash,-37.90153,145.140496
Montrose Transfer Station,Grosvenor Lodge Pty Ltd,Resource Recovery Centre,Transfer station,69-71 Canterbury Road,Montrose,Yarra Ranges,-37.81542,145.326299
Moonee Valley Transfer Station,City of Moonee Valley,Resource Recovery Centre,Transfer station,188 Holmes Road,Aberfeldie,Moonee Valley,-37.764239,144.902919
Mornington Outlook Recovery Centre,Outlook Environmental,Resource Recovery Centre,Transfer station,337 Racecourse Road,Mornington,Mornington Peninsula,-38.236325,145.0658944
Mornington Resource Recovery  Centre,Mornington Peninsula Shire Council,Resource Recovery Centre,Transfer station,134 Watt Road,Mornington,Mornington Peninsula,-38.234591,145.065457
Mortlake Resource Recovery Centre,Moyne Shire Council,Resource Recovery Centre,Transfer station,Connewarren Lane,Mortlake,Moyne,-38.06898,142.76917
Morwell Transfer Station,Latrobe City Council,Resource Recovery Centre,Transfer station,73 Porter's Road,Morwell,Latrobe,-38.2559,146.4257
Mount Beauty Transfer Station and Recycling Centre,Alpine Shire Council,Resource Recovery Centre,Transfer station,21 Maddisons Lane,Mount Beauty,Alpine,-36.7293,147.174674
Boggy Corner Waste Transfer Station (Transfer Station),Mount Buller and Mount Stirling Resort Management Board,Resource Recovery Centre,Transfer station,Boggy Corner,Mount Buller,Mount Buller Alpine Resort,-37.13482714,146.4520439
Mount Zero Transfer Station,Horsham Rural City Council,Resource Recovery Centre,Transfer station,Wonwondah-Dadswells Bridge Road,Laharum,Horsham,-36.871306,142.355129
