Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Grantville Transfer Station & Landfill ,Bass Coast Shire Council,Landfill,Landfill putrescible,1685 Bass Highway,Grantville,Bass Coast,-38.420836,145.5196345
Benalla Landfill ,Benalla Rural City Council,Landfill,Landfill putrescible,90 Old Farnley Road,Benalla,Benalla,-36.511418,145.998539
Gippsland Water,Central Gippsland Regional Water,Landfill,Landfill putrescible,1954 Longford-Loch Sport Road,Dutson,Wellington,-38.19605162,147.292318
Smythesdale Landfill,Ballarat City Council,Landfill,Landfill putrescible,Glenelg Highway,Smythesdale,Golden Plains,-37.6255435,143.7012185
Corangamite Regional Landfill (landfill),Corangamite Shire Council,Landfill,Landfill putrescible,605 County Boundary Road,Naroghid,Corangamite,-38.27278,143.04848
Bairnsdale Landfill,East Gippsland Shire Council,Landfill,Landfill putrescible,200 Johnstons Road,Forge Creek,East Gippsland,-37.880001,147.6262
Denyers Pit,Gannawarra Shire Council,Landfill,Landfill putrescible,55 Denyer Road,Kerang,Gannawarra,-35.7625785,143.77815
Fyansford Waste Waste Management Facility (Landfill),Sycle,Landfill,Landfill inert,Lower Paper Mills Road,Fyansford,Greater Geelong,-38.14431,144.30219
Glen Landfill,Glen Landfill Pty Ltd,Landfill,Landfill inert,75 Quarry Road,Langwarrin,Frankston,-38.140849,145.1991845
Cosgrove Landfill,Greater Shepparton City Council,Landfill,Landfill putrescible,200 Cosgrove-Lemnos Road,Cosgrove,Greater Shepparton,-36.3474025,145.599398
Devil Bend Landfill,Grosvenor Lodge Pty Ltd,Landfill,Landfill inert,435 Balnarring Road,Tuerong,Mornington Peninsula,-38.295004,145.0769435
Wollert Landfill (Landfill),Heidelberg Materials Australia Resource Recovery Pty Ltd,Landfill,Landfill putrescible,55 Bridge Inn Road,Wollert,Whittlesea,-37.5941365,145.038485
Hi-Quality Landfill,Hi-Quality Group,Landfill,Landfill inert,570-650 Sunbury Road,Bulla,Hume,-37.60627051,144.7840747
Dooen Landfill,Horsham Rural City Council,Landfill,Landfill putrescible,81 Ladlows Road,Dooen,Horsham,-36.60708435,142.2563251
Cleanaway Ravenhall Melbourne Regional Landfill,Cleanaway Pty Ltd,Landfill,Landfill putrescible,1100-1152 Christies Road,Ravenhall,Melton,-37.791581,144.73026
Hyland Landfill,Latrobe City Council,Landfill,Landfill putrescible,Hyland Highway,Loy Yang,Latrobe,-38.25121269,146.5587835
Maddingley Brown Coal Landfill,Calleja Group,Landfill,Landfill putrescible,11 Tilleys Road,Maddingley,Moorabool,-37.69944971,144.4461394
Mildura Landfill,Mildura Rural City Council,Landfill,Landfill putrescible,15 Scherger Drive,Mildura,Mildura,-34.1850615,142.1422685
Mitchell Landfill,Mitchell Shire Council,Landfill,Landfill putrescible,470 Seymour-Tooborac Road,Hilldene,Mitchell,-37.029435,145.08141
Cobram Landfill,Moira Shire Council,Landfill,Landfill putrescible,56 Pye Road,Cobram,Moira,-35.9553275,145.696043
Rye Landfill & Resource Recovery Centre (landfill),Mornington Peninsula Shire Council,Landfill,Landfill putrescible,280 Truemans Road,Fingal,Mornington Peninsula,-38.401757,144.860689
Alexandra landfill,Murrindindi Shire Council,Landfill,Landfill putrescible,124 Mount Pleasant Road,Alexandra,Murrindindi,-37.21248924,145.7246176
SBI Inert Landfill,SBI Group,Landfill,Landfill inert,950 Ballarto Road,Cranbourne,Casey,-38.125963,145.262557
Koonwarra Landfill,South Gippsland Shire Council,Landfill,Landfill putrescible,275 Koonwarra-Inverloch Road,Koonwarra,South Gippsland,-38.5583285,145.9222205
Stawell Landfill,Cleanaway Pty Ltd,Landfill,Landfill putrescible,492-494 Pomonal Rd,Stawell,Northern Grampians,-37.10016747,142.7342053
Hallam Road Landfill,Veolia Environmental Services Pty Ltd,Landfill,Landfill putrescible,274 Hallam Road,Hampton Park,Casey,-38.05392746,145.2673205
Veolia Taylors Road Landfill,Veolia Environmental Services Pty Ltd,Landfill,Hazardous waste landfill facility,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086
Anglesea Landfill,Surf Coast Shire Council,Landfill,Landfill putrescible,50 Coalmine Road,Anglesea,Surf Coast,-38.38506,144.19862
Swan Hill Rural City Council (landfill),Swan Hill Rural City Council,Landfill,Landfill putrescible,6859 Swan Hill-Sea Lake Road ,Swan Hill,Swan Hill,-35.349929,143.509847
Drysdale Landfill,Greater Geelong City Council,Landfill,Landfill putrescible,82-180 Becks Road,Drysdale,Greater Geelong,-38.16925,144.62752
Patho Landfill,Veolia Environmental Services Pty Ltd,Landfill,Landfill putrescible,Patho Station Road,Patho,Campaspe,-36.0375645,144.438963
Bowser Landfill,Wangaratta Rural City Council,Landfill,Landfill putrescible,5 Coleman Road,Bowser,Wangaratta,-36.3181915,146.3671645
Kilmany Landfill,Wellington Shire Council,Landfill,Landfill putrescible,Velore Road,Kilmany,Wellington,-38.102931,146.9274395
Werribee Landfill,Wyndham City Council,Landfill,Landfill putrescible,470 Wests Road,Werribee,Wyndham,-37.940938,144.5905665
"Australian Paper Recovery (Truganina, MRF)",APR,MRF,Materials recovery facility,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072
"Australian Paper Recovery (Truganina, Paper recycling)",APR,Reprocessor,Paper & cardboard recovery,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072
Cleanaway (Coolaroo MRF),Cleanaway Pty Ltd,MRF,Materials recovery facility,94 Maffra Street,Coolaroo,Hume,-37.657821,144.940081
"Cleanaway (Laverton, MRF)",Cleanaway Pty Ltd,MRF,Materials recovery facility,32 Gilbertson Road,Laverton North,Wyndham,-37.821854,144.795121
Dasma MRF,The Dasma Group,MRF,Materials recovery facility,75 Tramway Road,Morwell,Latrobe,-38.239457,146.438138
"Re-Group (Dandenong, MRF)",Re-Group Pty Ltd,MRF,Materials recovery facility,126-134 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.021922,145.19362
Tambo Waste (Lakes Entrance),Tambo Waste,Resource Recovery Centre,Transfer station,58 Whiters Street,Lakes Entrance,East Gippsland,-37.87104134,148.001551
Echuca MRF,Veolia Environmental Services Pty Ltd,MRF,Materials recovery facility,11 Reliance Court,Echuca,Campaspe,-36.148171,144.761935
Visy Recycling MRF (Heidelberg),Visy,MRF,Materials recovery facility,Corner Waterdale Road and Banksia Street,Heidelberg ,Banyule,-37.756448,145.04335
Visy Recycling MRF (Springvale),Visy,MRF,Materials recovery facility,708 Princes Highway,Springvale ,Greater Dandenong,-37.944038,145.171484
Robertson's Farmgate  (AD & HM Robertson Pty Ltd),AD & HM Robertson Pty Ltd,Reprocessor,Organics recycling,800 Blackgate Road,Mount Duneed,Surf Coast,-38.284467,144.3122465
Australian Growing Solutions Tyabb,AGS,Reprocessor,Organics recycling,15-21 Mckirdys Road,Tyabb,Mornington Peninsula,-38.2600379,145.215159
AKD Softwoods ,Associated Kiln Driers Pty Ltd,Reprocessor,Thermal energy from waste,7-15 Forest Street,Colac,Colac Otway,-38.3374839,143.6050628
Alberton Timber ,Alberton Timber & Treatment Plant Pty Ltd,Reprocessor,Thermal energy from waste,S Gippsland Hwy,Alberton,Wellington,-38.6107258,146.6633253
Alpine MDF ,Alpine MDF Industries Pty Ltd,Reprocessor,Thermal energy from waste,Lot 1 Crosher Lane,North Wangaratta ,Wangaratta,-36.33556952,146.3733945
Argus Recycling,Argus Recycling,Reprocessor,Organics recycling,60-62 Ordish Road,Dandenong,Greater Dandenong,-38.0218412,145.1925814
Aussie Compost Company,Aussie Compost Company,Reprocessor,Organics recycling,307 Koonwarra-Pound Creek Road,Pound Creek,South Gippsland,-38.6031244,145.884364
Pelletmate,Proviro Group,Reprocessor,Organics recycling,77 Buckley Grove,Moolap,Greater Geelong,-38.1636158,144.4288089
"Australian Paper (Maryvale, Organics recycling)",Opal Australian Paper,Reprocessor,Organics recycling,Traralgon West Road,Maryvale,Latrobe,-38.1875016,146.4703219
Australian Sustainable Hardwoods ,Australian Sustainable Hardwoods (ASH),Reprocessor,Thermal energy from waste,4 Weir Road,Heyfield,Wellington,-37.9785803,146.7944572
Australian Tartaric Products Co-generation Plant ,Australian Tartaric Products,Reprocessor,Thermal energy from waste,Boonoonar Road,Colignan,Mildura,-34.55,142.383333
"Repurpose It (Epping, organics recycling)",Repurpose It,Reprocessor,Organics recycling,460 Cooper Street,Epping,Whittlesea,-37.64051054,144.9782316
Repurpose It (Montrose),Repurpose It,Reprocessor,Organics recycling,54 Fussell Road,Montrose,Yarra Ranges,-37.8215044,145.3256144
Repurpose It (Hallam),Repurpose It,Reprocessor,Organics recycling,88-102 Ogrady Road,Hallam,Casey,-38.0179334,145.2555432
Beaufort Hospital,Beaufort Skipton Health Service,Reprocessor,Thermal energy from waste,28 Havelock Street,Beaufort,Pyrenees,-37.4308576,143.3824534
BE Bioenergy,Yarrock,Reprocessor,Thermal energy from waste,713 Yarrock Road,Kaniva,West Wimmera,-36.264183,141.189763
Bellarine Tree Services,Bellarine Tree Services,Reprocessor,Organics recycling,23 Albert Street,Moolap,Greater Geelong,-38.183333,144.433333
"Berrybank Farm (Windermere, Organics recycling)",Berrybank Piggery (Charles Ife Pty Ltd),Reprocessor,Organics recycling,34 Hendersons Road,Windemere,Ballarat,-37.46425098,143.7108228
"Berrybank Farm (Windermere, Anaerobic digestion)",Berrybank Piggery (Charles Ife Pty Ltd),Reprocessor,Anaerobic digestion,34 Hendersons Road,Windemere,Ballarat,-37.46425098,143.7108228
Biomix,Biomix,Reprocessor,Organics recycling,980 Two Tree Road,Stanhope,Campaspe,-36.4984491,144.9246154
Blow It Mulch & Mega Mulch,Blow It Mulch,Reprocessor,Organics recycling,6309 Maroondah Highway,Yarck,Murrindindi,-37.1225226,145.6172295
Branin (organics),Branin Pty Ltd,Reprocessor,Organics recycling,7 Apoinga Street,Dandenong South,Greater Dandenong,-38.0356394,145.2059851
Bio Gro (Newbridge),Van Schaik's Bio Gro,Reprocessor,Organics recycling,1477 Yorkshire Road,Newbridge,Loddon,-36.7076981,143.9585202
"Maddingley Brown Coal (Maddingley, Organics recycling)",Calleja Group,Reprocessor,Organics recycling,11 Tilleys Road,Maddingley,Moorabool,-37.69686165,144.446874
Castlegate James,Castlegate James,Reprocessor,Organics recycling,4 Wiltshire Lane,Delacombe,Ballarat,-37.570511,143.809237
Gippsland Regional Organics,Central Gippsland Regional Water,Reprocessor,Organics recycling,1954 Longford-Loch Sport Road,Dutson,Wellington,-38.1963007,147.2923152
Carisbrook Transfer Station,Central Goldfields Shire Council,Reprocessor,Organics recycling,125 Williams Road,Carisbrook,Central Goldfields,-37.0569249,143.7932509
Central Recycling (Organics),Central Recycling Pty Ltd,Reprocessor,Organics recycling,Redesdale Road ,Kyneton,Macedon Ranges,-37.23046851,144.45053
"City Circle (Brooklyn, Thermal energy from waste)",City Circle Group,Reprocessor,Thermal energy from waste,166-156 Jones Road,Brooklyn,Brimbank,-37.8117381,144.8351408
Cleanaway South East Organics Facility (SEOF),Cleanaway Pty Ltd,Reprocessor,Organics recycling,88 Ordish Road ,Dandenong South,Greater Dandenong,-38.0256086,145.192464
Corangamite Regional Landfill (Composting),Corangamite Shire Council,Reprocessor,Organics recycling,605 County Boundary West Road,Naroghid,Corangamite,-38.2710232,143.0768582
"D&R Henderson (Winton, Organics recycling)",D&R Henderson,Reprocessor,Organics recycling,3672/42 Benalla - Yarrawonga Road,Winton,Benalla,-36.5263822,146.0393712
"D&R Henderson (Winton, Anaerobic digestion)",D&R Henderson,Reprocessor,Anaerobic digestion,3672/42 Benalla - Yarrawonga Road,Winton,Benalla,-36.5263822,146.0393712
Davo's Worm Farms,Davo's Worm Farms,Reprocessor,Organics recycling,50 Henders Road,Broomfield,Hepburn,-37.3787785,143.9072197
REMONDIS Dandenong South Liquid Processing Plant,REMONDIS Australia,Reprocessor,Organics recycling,26-28 Souffi Place,Dandenong South,Greater Dandenong,-38.0321019,145.1974555
Elmore Compost & Organics (organics),Elmore Compost & Organics,Reprocessor,Organics recycling,1203 Goornong-Mayreef Road,Elmore,Greater Bendigo,-36.5074594,144.5027465
Epsom Sand and Soil,Epsom Sand and Soil,Reprocessor,Organics recycling,452 Epsom-Barnadown Road ,Wellsford,Greater Bendigo,-36.6888991,144.3580317
Frews Abattoir ,Frew Group,Reprocessor,Thermal energy from waste,46 Abattoir Rd,Stawell,Northern Grampians,-37.0555913,142.7578005
Garden State Mulching Services,Garden State Mulching Services Pty Ltd,Reprocessor,Organics recycling,257 George Street ,Wantirna South,Knox,-37.8826128,145.2135493
Geelong GO Composting Facility ,Geelong City Council,Reprocessor,Organics recycling,400 Staceys Road ,Anakie,Greater Geelong,-38.00850963,144.3031513
Gippsland Greenhouse Produce,Gippsland Greenhouse Produce Pty Ltd,Reprocessor,Thermal energy from waste,1566 Princes Highway,Yarragon ,Baw Baw,-38.2066962,146.095034
Goulburn River Trout,Goulburn River Trout,Reprocessor,Organics recycling,1680 Goulburn Valley Highway,Alexandra,Murrindindi,-37.2355024,145.7696774
Garden Recycling Centre,Garden Recycling Centre,Reprocessor,Organics recycling,154 Learmonth Street,Alfredton,Ballarat,-37.5672069,143.808512
The Mulch Centre,Green Care Mulching,Reprocessor,Organics recycling,72-80 Buckley Grove,Moolap,Greater Geelong,-38.1640999,144.4299332
Greenchip Recycling,Greenchip Recycling,Reprocessor,Organics recycling,219 Whytes Road,Baranduda,Wodonga,-36.15399943,146.9527114
Creswick Transfer Station (Organics) ,Hepburn Shire Council,Reprocessor,Anaerobic digestion,Ring Road,Creswick,Hepburn,-37.4241222,143.8912368
Horsham Green Waste Processing,Horsham Rural City Council,Reprocessor,Organics recycling,93 Kenny Road,Horsham,Horsham,-36.741672,142.185811
Hancock Victorian Plantations,Hancock Victorian Plantations,Reprocessor,Thermal energy from waste,555 Ti Tree Road,Hedley,Wellington,-38.6339805,146.5434777
Just Biodiesel Pty Ltd,Just Biodiesel Pty Ltd,Reprocessor,Refuse derived fuel,158 Plemings Road,Barnawatha,Indigo,-36.1184549,146.6993997
Kia-Ora Piggery,Kia-Ora Piggery Pty Ltd,Reprocessor,Anaerobic digestion,413 Yarrawalla West Road,Yarrawalla,Loddon,-36.177266,143.9959063
Meredith Dairy,Meredith Dairy,Reprocessor,Thermal energy from waste,106 Cameron Road,Meredith,Golden Plains,-37.8353217,143.9642907
Rye Landfill & Resource Recovery Centre (organics recycling),Mornington Peninsula Shire Council,Reprocessor,Organics recycling,280 Truemans Road,Fingal,Mornington Peninsula,-38.391364,144.855553
Cobungra Landfill,Mt Hotham Alpine Report,Landfill,Landfill unlicensed,2127 Great Alpine Road,Cobungra,East Gippsland,-37.097103,147.422773
Murphy Fresh,Flavorite Group,Reprocessor,Thermal energy from waste,1098 Mansfield-Whitfield Road,Mansfield,Mansfield,-36.969651,146.118927
Mushroom Exchange,Costa Group,Reprocessor,Organics recycling,347 Zanelli Road,Nagambie,Strathbogie,-36.7890114,145.2545635
Bio Briquettes (Timber Brix) ,Newstead Briquetting Company,Reprocessor,Refuse derived fuel,4 Fitt Ct,East Bendigo,Greater Bendigo ,-36.74959125,144.3103259
Nutrisoil,Nutrisoil Pty Ltd,Reprocessor,Organics recycling,343 Whytes Road ,Baranduda,Wodonga,-36.1633294,146.9616862
Oztek Holdings,Oztek Holdings Pty LTd,Reprocessor,Organics recycling,158 Plemings Road,Barnawatha,Indigo,-36.1184549,146.6993997
Paarhammer Windows and Doors,Paarhammer Pty Ltd,Reprocessor,Thermal energy from waste,53 Haddon Drive,Ballan,Moorabool,-37.6146512,144.238296
Pental,Pental,Reprocessor,Organics recycling,48 Drummond Road,Shepparton,Greater Shepparton,-36.3701606,145.4231396
PineGro Green Waste (Moe),Pinegro Products Pty Ltd,Reprocessor,Organics recycling,31 Walhalla Road,Moe,Latrobe,-38.1616767,146.2599611
PineGro (Morwell),Pinegro Products Pty Ltd,Reprocessor,Organics recycling,300 Monash Way,Morwell ,Latrobe,-38.263486,146.4201655
Pinegro (Mt Wallace),Pinegro Products Pty Ltd,Reprocessor,Organics recycling,Lot 32 Glenmore Road,Ballan,Moorabool,-37.71042325,144.3124698
PineGro Green Waste (Traralgon),Pinegro Products Pty Ltd,Reprocessor,Organics recycling,50 Rocla Road,Traralgon East,Latrobe,-38.1851001,146.5666195
Pyrenees Timber,Pyrenees Timber Pty Ltd,Reprocessor,Thermal energy from waste,392 Amphitheatre Road,Chute,Pyrenees,-37.3378317,143.3790096
Reid Brothers Sawmill,Reid Brothers ,Reprocessor,Thermal energy from waste,30-42 Little Yarra Road,Yarra Junction,Yarra Ranges,-37.78641,145.6167318
Resource Resolution,Resource Resolution Pty Ltd,Reprocessor,Organics recycling,19 Winter Road,Girgarre,Campaspe,-36.3985198,144.9834936
Teys Australia Charlton Feedlot,Teys Australia Southern Pty Ltd,Reprocessor,Organics recycling,224 Yeungroon Woosang Road ,Charlton,Buloke,-36.3588406,143.4109519
Royal Children's Hospital,Royal Children's Hospital,Reprocessor,Thermal energy from waste,50 Flemington Road,Parkville,Melbourne,-37.7935372,144.9491384
Ryan & McNulty Sawmillers,Ryan & McNulty Pty Ltd,Reprocessor,Thermal energy from waste,123 Sydney Rd,Benalla,Benalla,-36.5431546,146.0091446
Valoriza Dandenong South Composting Facility ,Valoriza Environment Australia,Reprocessor,Organics recycling,42-46 Villas Road,Dandenong South,Greater Dandenong,-38.033962,145.201501
Select Harvests - Almond Division,Select Harvests,Reprocessor,Thermal energy from waste,4444B Hattah-Robinvale Road,Wemen,Swan Hill,-34.745981,142.7199932
Spotswood Holdings,Spotswood Holdings Pty Ltd,Reprocessor,Organics recycling,6 King Street,Yarra Glen,Yarra Ranges,-37.6552848,145.3596994
Supreme Soils,Gardners Ag Services,Reprocessor,Organics recycling,800 Katandra Main Road,Katandra,Greater Shepparton,-36.2391678,145.5798837
Surecrop Monbulk,Surecrop Pty Ltd,Reprocessor,Organics recycling,114 Old Emerald Road,Monbulk,Yarra Ranges,-37.8667299,145.4268072
Camperdown Compost Company,The Camperdown Compost Company,Reprocessor,Organics recycling,Blind Creek Road,Bookaar,Corangamite,-38.1729657,143.0717794
Good Dirt Lethbridge,The Good Dirt Company,Reprocessor,Organics recycling,678 Tall Tree Road,Lethbridge,Golden Plains,-37.9743315,144.0579768
The Green Centre,The Green Centre,Reprocessor,Organics recycling,48 Stadium Drive,Keilor Park,Brimbank,-37.7137351,144.8553536
Midfield Meat International,The Midfield Group,Reprocessor,Anaerobic digestion,Corner Scott Street and McMeeking Road,Warrnambool,Warrnambool,-38.374481,142.4570729
Pomala Pty Ltd,The Midfield Group,Reprocessor,Organics recycling,402 Woolsthorpe-Ballangeich Road,Woolsthorpe,Moyne,-38.1712511,142.4921058
Timberzoo,Timberzoo Pty Ltd,Reprocessor,Organics recycling,385 Portarlington Road,Moolap,Greater Geelong,-38.1695347,144.4271181
Trigg Dairy ,Trigg Ron Farming,Reprocessor,Anaerobic digestion,50 Lesters Road,Bungaree,Moorabool,-37.5630984,143.9988041
UniGrain Smeaton Mill,UniGrain Pty Ltd,Reprocessor,Thermal energy from waste,3720 Creswick / Newstead Road,Smeaton,Hepburn,-37.3490599,143.9422058
Bio Gro (Dandenong),Van Schaik's Bio Gro,Reprocessor,Organics recycling,80-82 Ordish Road,Dandenong South,Greater Dandenong,-38.023576,145.1923413
Van Wyk Flowers,Van Wyk Flower Supply Pty Ltd,Reprocessor,Thermal energy from waste,605 Thompsons Road,Lyndhurst,Greater Dandenong,-38.072197,145.2054674
Veolia Bulla Organics Facility,Veolia Environmental Services Pty Ltd,Reprocessor,Organics recycling,600 Sunbury Road,Bulla,Hume,-37.6184645,144.7839797
Veolia C&I Transfer Station,Veolia Environmental Services Pty Ltd,Reprocessor,Organics recycling,72 Ordish Road,Dandenong South,Greater Dandenong,-38.022039,145.192387
Veolia Natural Recovery Systems Dandenong,Veolia Environmental Services Pty Ltd,Reprocessor,Organics recycling,15 Berends Drive,Dandenong,Greater Dandenong,-38.0294047,145.1978741
Veolia Werribee Transfer Station,Veolia Environmental Services Pty Ltd,Resource Recovery Centre,Transfer station,470 Wests Road,Werribee,Wyndham,-37.940038,144.5827
Visy Wastepaper & Waste Management (Coolaroo),Visy,Reprocessor,Thermal energy from waste,13 Reo Crescent,Coolaroo,Hume,-37.64524512,144.9357411
Wadref Humified Compost Pty Ltd (T/A Humus Composting Euroa),Wadref Humified Compost Pty Ltd (T/A Humus Composting Euroa),Reprocessor,Organics recycling,Lot 2 Lomers Road,Euroa,Strathbogie,-36.7339154,145.5813136
Wangaratta Organics Processing Facility,Wangaratta Rural City Council,Reprocessor,Organics recycling,Byawatha Road West,North Wangaratta,Wangaratta,-36.32230996,146.3782801
Delorean Energy Vic One Bioenergy Plant,Delorean Corporation,Reprocessor,Anaerobic digestion,"211 and, 223 Hill Road",Stanhope,Campaspe,-36.4702488,145.0066714
Western Composting Technology,Western Composting Technology Pty Ltd,Reprocessor,Organics recycling,165 Daldy Road,Shepparton North,Greater Shepparton,-36.3234931,145.3767463
Wodonga Abattoir,Wodonga Abattoir Pty Ltd,Reprocessor,Organics recycling,54 Kelly Street,Wodonga,Wodonga,-36.112472,146.876886
ReWaste,Yarra Valley Water,Reprocessor,Anaerobic digestion,525 Craigieburn Road,Wollert,Whittlesea,-37.61075358,144.9762668
Ballarat Green Waste Interchange,Ballarat City Council,Reprocessor,Organics recycling,Ballarat Airport,Mitchell Park,Ballarat,-37.5143885,143.7892342
Pine Mulch Haulage,Gary Ryan,Reprocessor,Organics recycling,57-79 Rocla Road,Traralgon,Latrobe,-38.1819889,146.5672881
Tatura Shavings & Sawdust (fka Seymour Shavings & Sawdust Supplies),Tatura Shavings & Sawdust,Reprocessor,Organics recycling,735 Girgarre East Rd,Tatura,Greater Shepparton,-36.45452284,145.1407234
Cardboard Collection Services,Cardboard Collection Services,Reprocessor,Paper & cardboard recovery,11 Cahill Street,Dandenong South,Greater Dandenong,-38.026644,145.200868
Encore Tissue,Encore Tissue (Aust) Pty Ltd,Reprocessor,Paper & cardboard reprocessing,37 Gilbertson Road,Laverton North,Wyndham,-37.82252816,144.794008
Enviroflex,Enviroflex,Reprocessor,Paper & cardboard recovery,Unit 6 & 7/65 Barry Street,Bayswater,Knox,-37.847847,145.283506
Huhtamaki,Huhtamaki Group,Reprocessor,Paper & cardboard reprocessing,Level 1//75 Raglan Street,Preston,Darebin,-37.748973,145.003043
Insulfluf,Azelia Insulation Pty Ltd,Reprocessor,Paper & cardboard reprocessing,13 Union Road,Dandenong South,Greater Dandenong,-38.007989,145.205561
Visy Paper Mill (Coolaroo),Visy,Reprocessor,Paper & cardboard reprocessing,13 Reo Crescent,Coolaroo,Hume,-37.64524512,144.9357411
Visy Paper Mill (Resevoir),Visy,Reprocessor,Paper & cardboard reprocessing,22 Radford Road,Reservoir,Darebin,-37.711268,144.982665
Visy Recycling MRF (Geelong),Visy,Reprocessor,Paper & cardboard recovery,282 Thompson Road,North Geelong,Greater Geelong,-38.107875,144.344183
Foott Waste and Recycling,Foott Waste Solutions,Reprocessor,Paper & cardboard recovery,10 Carroll Road,Shepparton,Greater Shepparton,-36.387905,145.434859
Australian Paper Recovery (Dandenong),APR,Reprocessor,Paper & cardboard recovery,60-64 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.021194,145.197083
O F Resource Recovery,O F Packaging,Reprocessor,Paper & cardboard recovery,32 Plummer Road,Laverton North,Wyndham,-37.818754,144.814123
Re-Group  Hallam Container and Plastics Sorting Facility ,Re-Group Pty Ltd,Reprocessor,Plastics recovery,87-93 Wedgewood Road,Hallam,Casey,-38.013067,145.254664
Advanced Circular Polymers,Visy,Reprocessor,Plastics reprocessing,235 Hume Highway ,Somerton,Hume,-37.6242755,144.9480921
Carrington Plastics,Carrington Plastics Pty Ltd,Reprocessor,Plastics reprocessing,2 Vimy Street,Reservoir,Darebin,-37.710372,144.984538
Corex Plastics Australia,Corex Group,Reprocessor,Plastics reprocessing,261 Frankston - Dandenong Road,Dandenong South,Greater Dandenong,-38.02533657,145.2147878
Cryogrind,Cryogrind,Reprocessor,Plastics reprocessing,20/12 Moon Street,Moolap,Greater Geelong,-38.165335,144.41275
Dunlop Flooring,Dunlop Flooring,Reprocessor,Plastics reprocessing,380 Dohertys Road,Truganina,Wyndham,-37.82525588,144.7593006
"Ecycle Solutions (Dandenong South, Plastics reprocessing)",QLS Group,Reprocessor,Plastics reprocessing,398-418 Hammond Road,Dandenong South,Greater Dandenong,-38.031918,145.2019
EQ Plastics,EQ Plastics,Reprocessor,Plastics reprocessing,16 Egan Road,Dandenong,Greater Dandenong,-37.994504,145.194161
Foamex (Bayswater North),Foamex Group,Reprocessor,Plastics reprocessing,31-33 Gatwick Road,Bayswater North,Maroondah,-37.8173585,145.2976913
GT Recycling,GT Recycling,Reprocessor,Plastics reprocessing,100 Point Henry Road,Moolap,Greater Geelong,-38.16032,144.430156
Integrated Recycling,Integrated Recycling,Reprocessor,Plastics reprocessing,316 Etiwanda Avenue,Mildura ,Mildura,-34.196372,142.169285
Iplex Piplelines,Fletcher Building Group,Reprocessor,Plastics reprocessing,9-15 Radford Road,Reservoir,Darebin,-37.71024,144.982619
Martogg (Frankston-Dandenong Road),Martogg Group,Reprocessor,Plastics reprocessing,185-195 Frankston-Dandenong Road,Dandenong South,Greater Dandenong,-38.017839,145.215061
Megara,Megara Australia Pty Ltd,Reprocessor,Plastics reprocessing,261 Frankston-Dandenong Road,Dandenong South,Greater Dandenong,-38.02519959,145.2147151
Nationwide Connect Recycling,Nationwide Connect Pty Ltd,Reprocessor,Plastics reprocessing,5 Gipps Court,Epping,Whittlesea,-37.647451,145.012763
Olima Fibre Processors,Olima Fibre Processors Pty Ltd,Reprocessor,Plastics reprocessing,254 Canterbury Road,Bayswater North,Maroondah,-37.830045,145.275013
Polyfoam Australia,Polyfoam Australia Pty Ltd,Reprocessor,Plastics reprocessing,11 Brooklyn Avenue,Dandenong,Greater Dandenong,-37.99326803,145.198702
Polymer Processors,Polymer Processors,Reprocessor,Plastics reprocessing,11 Japaddy Street,Mordialloc,Kingston,-37.989187,145.105382
Kangaroo Plastics Technology,Kangaroo Plastics Technology Pty Ltd,Reprocessor,Plastics reprocessing,202-204 Northbourne Road,Campbellfield,Hume,-37.64773474,144.9574853
RPM Pipes,RPM Pipes,Reprocessor,Plastics reprocessing,280 Lancaster Road,Kyabram,Campaspe,-36.31363,145.097018
REPLAS,Repeat Plastics Australia Pty Ltd,Reprocessor,Plastics reprocessing,50 Elsworth Street,Canadian,Ballarat,-37.58313715,143.8735896
Signode,Signode Australia & New Zealand,Reprocessor,Plastics reprocessing,30 Fulton Drive,Derrimut,Brimbank,-37.809071,144.780473
Unipod,Unipod Pty Ltd,Reprocessor,Plastics reprocessing,8 Foundation Road,Truganina,Wyndham,-37.814229,144.765682
Vicfam Plastics,Vicfam Plastics,Reprocessor,Plastics reprocessing,20-22 Somerleigh Road,Laverton North,Wyndham,-37.81791252,144.8158939
Welvic Australia,Welvic Australia Pty Ltd,Reprocessor,Plastics reprocessing,"Gate 6, Tillburn Road",Deer Park,Brimbank,-37.77776417,144.7766469
"Alex Fraser (Laverton, Glass reprocessing)",Alex Fraser Group,Reprocessor,Glass reprocessing (crushing),9-19 Alex Fraser Drive,Laverton North,Wyndham,-37.8306067,144.768137
Coloured Recycled Glass,Coloured Recycle Group,Reprocessor,Glass reprocessing (crushing),109A Metrolink Circuit,Campbellfield,Hume,-37.652021,144.970915
Crushed Glass Concepts,Crushed Glass Concepts,Reprocessor,Glass reprocessing (crushing),18 Industrial Drive,Pakenham,Cardinia,-38.101935,145.494889
Visy Glass (Laverton North),Visy,Reprocessor,Glass beneficiation,46-48 Dohertys Road,Laverton North,Wyndham,-37.82968,144.806586
